AI1, AI2, round, fitness
CMAESMCTS, RandomAI, 1, -13.212
CMAESMCTS, RandomAI, 2, -15.18
CMAESMCTS, RandomAI, 3, -13.775999999999998
CMAESMCTS, RandomAI, 4, -14.399999999999999
CMAESMCTS, RandomAI, 5, -15.18
CMAESMCTS, RandomBiasedAI, 1, 5.096
CMAESMCTS, RandomBiasedAI, 2, -9.569999999999999
CMAESMCTS, RandomBiasedAI, 3, -13.566
CMAESMCTS, RandomBiasedAI, 4, -10.164
CMAESMCTS, RandomBiasedAI, 5, -8.1
CMAESMCTS, MonteCarlo, 1, 0.0
CMAESMCTS, MonteCarlo, 2, -10.95
CMAESMCTS, MonteCarlo, 3, 0.0
CMAESMCTS, MonteCarlo, 4, 4.377999999999999
CMAESMCTS, MonteCarlo, 5, -5.678000000000001
CMAESMCTS, WorkerRush, 1, -14.940000000000001
CMAESMCTS, WorkerRush, 2, 0.0
CMAESMCTS, WorkerRush, 3, 0.0
CMAESMCTS, WorkerRush, 4, -15.918
CMAESMCTS, WorkerRush, 5, -13.068000000000001
CMAESMCTS, WorkerDefense, 1, -16.549999999999997
CMAESMCTS, WorkerDefense, 2, -15.694
CMAESMCTS, WorkerDefense, 3, -14.586000000000002
CMAESMCTS, WorkerDefense, 4, -13.5
CMAESMCTS, WorkerDefense, 5, -14.741999999999999
CMAESMCTS, CoacAI, 1, -18.846
CMAESMCTS, CoacAI, 2, -13.481999999999998
CMAESMCTS, CoacAI, 3, 0.0
CMAESMCTS, CoacAI, 4, -16.049999999999997
CMAESMCTS, CoacAI, 5, -12.24
