AI1, AI2, map, fitness
CMAESMCTS, RandomAI, maps/8x8/basesWorkers8x8A.xml, -10.4
CMAESMCTS, RandomAI, maps/16x16/basesWorkers16x16A.xml, -15.359999999999998
CMAESMCTS, RandomAI, maps/BWDistantResources32x32.xml, -12.768
CMAESMCTS, RandomAI, maps/BroodWar/(4)BloodBath.scmB.xml, -14.796000000000001
CMAESMCTS, RandomAI, maps/8x8/FourBasesWorkers8x8.xml, -13.294
CMAESMCTS, RandomAI, maps/16x16/TwoBasesBarracks16x16.xml, -14.891999999999998
CMAESMCTS, RandomAI, maps/NoWhereToRun9x8.xml, -13.974
CMAESMCTS, RandomAI, maps/DoubleGame24x24.xml, -12.478
CMAESMCTS, RandomBiasedAI, maps/8x8/basesWorkers8x8A.xml, -9.828
CMAESMCTS, RandomBiasedAI, maps/16x16/basesWorkers16x16A.xml, -14.586000000000002
CMAESMCTS, RandomBiasedAI, maps/BWDistantResources32x32.xml, -13.229999999999999
CMAESMCTS, RandomBiasedAI, maps/BroodWar/(4)BloodBath.scmB.xml, -15.24
CMAESMCTS, RandomBiasedAI, maps/8x8/FourBasesWorkers8x8.xml, -8.232
CMAESMCTS, RandomBiasedAI, maps/16x16/TwoBasesBarracks16x16.xml, -11.04
CMAESMCTS, RandomBiasedAI, maps/NoWhereToRun9x8.xml, -12.15
CMAESMCTS, RandomBiasedAI, maps/DoubleGame24x24.xml, -8.969999999999999
CMAESMCTS, MonteCarlo, maps/8x8/basesWorkers8x8A.xml, -11.424
CMAESMCTS, MonteCarlo, maps/16x16/basesWorkers16x16A.xml, 9.264
CMAESMCTS, MonteCarlo, maps/BWDistantResources32x32.xml, -3.4980000000000007
CMAESMCTS, MonteCarlo, maps/BroodWar/(4)BloodBath.scmB.xml, 0.8399999999999999
CMAESMCTS, MonteCarlo, maps/8x8/FourBasesWorkers8x8.xml, -9.463999999999999
CMAESMCTS, MonteCarlo, maps/16x16/TwoBasesBarracks16x16.xml, -2.48
CMAESMCTS, MonteCarlo, maps/NoWhereToRun9x8.xml, -9.150000000000002
CMAESMCTS, MonteCarlo, maps/DoubleGame24x24.xml, 5.255999999999999
CMAESMCTS, CoacAI, maps/8x8/basesWorkers8x8A.xml, 15.0
CMAESMCTS, CoacAI, maps/16x16/basesWorkers16x16A.xml, 0.0
CMAESMCTS, CoacAI, maps/BWDistantResources32x32.xml, 13.794
CMAESMCTS, CoacAI, maps/BroodWar/(4)BloodBath.scmB.xml, 0.0
CMAESMCTS, CoacAI, maps/8x8/FourBasesWorkers8x8.xml, 0.0
CMAESMCTS, CoacAI, maps/16x16/TwoBasesBarracks16x16.xml, 0.0
CMAESMCTS, CoacAI, maps/NoWhereToRun9x8.xml, 0.0
CMAESMCTS, CoacAI, maps/DoubleGame24x24.xml, 0.0
CMAESMCTS, POLightRush, maps/8x8/basesWorkers8x8A.xml, -13.440000000000001
CMAESMCTS, POLightRush, maps/16x16/basesWorkers16x16A.xml, -13.974
CMAESMCTS, POLightRush, maps/BWDistantResources32x32.xml, 0.8552
CMAESMCTS, POLightRush, maps/BroodWar/(4)BloodBath.scmB.xml, -3.088
CMAESMCTS, POLightRush, maps/8x8/FourBasesWorkers8x8.xml, -10.11
CMAESMCTS, POLightRush, maps/16x16/TwoBasesBarracks16x16.xml, 0.0
CMAESMCTS, POLightRush, maps/NoWhereToRun9x8.xml, -15.8
CMAESMCTS, POLightRush, maps/DoubleGame24x24.xml, -14.328000000000001
